date,number of accidents,Temperature,windspeed
2014-06-06,1026,292.9266666666667,1.625
2014-06-07,945,294.1645833333333,1.0833333333333333
2014-06-08,751,296.0466666666667,0.9583333333333334
2014-06-09,791,292.82625,1.0416666666666667
2014-06-10,774,293.605,1.2083333333333333
2014-06-11,784,292.68666666666667,1.4166666666666667
2014-06-12,784,290.5225,1.625
2014-06-13,999,293.59541666666667,1.1666666666666667
2014-06-14,741,293.7029166666667,1.5833333333333333
2014-06-15,735,292.44208333333336,2.0833333333333335
2014-06-16,902,294.73125,1.2083333333333333
2014-06-17,879,297.93874999999997,0.9166666666666666
2014-06-18,902,301.51458333333335,1.6666666666666667
2014-06-19,887,296.3333333333333,1.1666666666666667
2014-06-20,1077,294.9995833333333,1.0
2014-06-21,792,294.07625,1.0833333333333333
2014-06-22,708,293.69125,0.9166666666666666
2014-06-23,894,294.81541666666664,1.5
2014-06-24,841,295.81708333333336,1.2916666666666667
2014-06-25,899,297.19666666666666,1.375
2014-06-26,953,298.0954166666666,1.2083333333333333
2014-06-27,974,297.20458333333335,1.0416666666666667
2014-06-28,802,296.99666666666667,1.125
2014-06-29,688,296.7729166666667,1.0833333333333333
2014-06-30,833,297.3029166666667,1.625
2014-07-01,884,299.7245833333333,2.4166666666666665
2014-07-02,837,301.1070833333333,2.875
2014-07-03,952,299.0541666666667,1.6666666666666667
2014-07-04,570,295.0370833333333,2.4166666666666665
2014-07-05,742,295.0879166666667,4.625
2014-07-06,637,297.3183333333333,3.375
2014-07-07,842,300.0708333333333,5.916666666666667
2014-07-08,885,301.62212500000004,5.125
2014-07-09,749,299.81375,4.625
2014-07-10,823,297.28625000000005,2.75
2014-07-11,915,297.6387752850417,2.75
2014-07-12,745,297.7979166666667,2.5416666666666665
2014-07-13,612,298.1458333333333,3.6666666666666665
2014-07-14,781,298.4853300227083,2.9583333333333335
2014-07-15,797,297.9741666666667,2.0416666666666665
2014-07-16,802,296.48375000000004,3.2083333333333335
2014-07-17,784,295.63375,3.5
2014-07-18,867,295.17416666666674,2.6666666666666665
2014-07-19,630,294.76125,2.25
2014-07-20,634,294.87625,3.2916666666666665
2014-07-21,793,295.37666666666667,1.8333333333333333
2014-07-22,750,297.8975,2.5
2014-07-23,765,299.55375000000004,4.208333333333333
2014-07-24,813,297.4306653478333,2.125
2014-07-25,892,296.124220366,2.9583333333333335
2014-07-26,676,295.84250000000003,3.5
2014-07-27,606,297.75416666666666,3.4166666666666665
2014-07-28,813,297.6441878505,4.208333333333333
2014-07-29,696,293.4845833333333,4.166666666666667
2014-07-30,741,293.32166666666666,2.875
2014-07-31,825,294.56416666666667,3.25
2014-08-01,965,295.64000000000004,2.3333333333333335
2014-08-02,721,293.93395249529163,2.75
2014-08-03,586,293.56412451,1.625
2014-08-04,778,296.6225,2.2083333333333335
2014-08-05,772,297.5520833333333,1.8333333333333333
2014-08-06,725,296.75,3.7916666666666665
2014-08-07,831,295.10999999999996,3.9166666666666665
2014-08-08,855,294.3261434468333,3.3333333333333335
2014-08-09,723,295.0525,2.0833333333333335
2014-08-10,695,295.7660589140833,1.8333333333333333
2014-08-11,816,296.466125,2.375
2014-08-12,738,296.00375,4.333333333333333
2014-08-13,803,296.08916666666664,4.5
2014-08-14,776,294.12212500000004,4.208333333333333
2014-08-15,769,291.88319257608333,3.7916666666666665
2014-08-16,694,292.7421064162917,2.625
2014-08-17,616,294.785478205625,2.6666666666666665
2014-08-18,806,294.35660227720837,2.75
2014-08-19,777,294.4391666666667,2.9166666666666665
2014-08-20,755,295.95875,1.9583333333333333
2014-08-21,780,295.64,2.5833333333333335
2014-08-22,834,293.8545833333333,2.0833333333333335
2014-08-23,641,293.279803129125,2.75
2014-08-24,619,293.53916666666663,2.5
2014-08-25,723,294.40791666666667,1.7916666666666667
2014-08-26,813,296.65125,2.0416666666666665
2014-08-27,721,297.19416666666666,2.625
2014-08-28,808,296.4991640313751,4.791666666666667
2014-08-29,910,292.6033333333333,3.2916666666666665
2014-08-30,654,292.65833333333336,2.25
2014-08-31,621,297.29625,3.875
2014-09-01,514,298.6458333333333,2.6666666666666665
2014-09-02,915,299.84166666666664,3.5833333333333335
2014-09-03,882,298.37083333333334,4.75
2014-09-04,890,296.08458333333334,2.5416666666666665
2014-09-05,879,297.12875,2.75
2014-09-06,684,298.95958333333334,3.25
2014-09-07,665,294.4360305525,3.0416666666666665
2014-09-08,856,292.2445833333333,3.25
2014-09-09,751,291.9841666666667,4.458333333333333
2014-09-10,800,293.4179166666667,3.375
2014-09-11,750,295.06375,3.7083333333333335
2014-09-12,932,293.1925,4.291666666666667
2014-09-13,775,289.27375,4.25
2014-09-14,626,288.1491329481667,2.9583333333333335
2014-09-15,787,287.91541666666666,2.7916666666666665
2014-09-16,839,288.8441666666667,2.375
2014-09-17,832,288.6875,2.5
2014-09-18,838,289.2029166666667,2.0
2014-09-19,954,288.10375,4.166666666666667
2014-09-20,744,290.18791666666664,3.25
2014-09-21,631,293.48893826725,1.5416666666666667
2014-09-22,796,291.88625,4.541666666666667
2014-09-23,844,287.15166666666664,2.5833333333333335
2014-09-24,819,288.97583333333336,2.6666666666666665
2014-09-25,762,289.39625,4.083333333333333
2014-09-26,960,290.63625,4.041666666666667
2014-09-27,820,292.43958333333336,2.125
2014-09-28,666,293.22499999999997,1.0416666666666667
2014-09-29,691,292.98625,2.125
2014-09-30,773,292.48625,2.25
2014-10-01,840,290.1225,3.375
2014-10-02,764,290.43625,3.1666666666666665
2014-10-03,1074,290.0670833333333,2.4166666666666665
2014-10-04,835,290.7029166666667,4.541666666666667
2014-10-05,666,284.24833333333333,5.75
2014-10-06,916,285.47208333333333,3.0
2014-10-07,861,291.4497660892917,4.458333333333333
2014-10-08,850,291.9433333333333,5.791666666666667
2014-10-09,860,288.25166666666667,4.833333333333333
2014-10-10,953,285.8896769729167,1.9583333333333333
2014-10-11,775,285.0991666666667,2.5
2014-10-12,799,283.48291666666665,1.875
2014-10-13,720,285.6429166666667,1.875
2014-10-14,899,292.6917496056667,2.75
2014-10-15,891,295.29041666666666,3.25
2014-10-16,914,293.78958333333327,4.791666666666667
2014-10-17,989,290.1716666666667,4.0
2014-10-18,806,289.0629166666667,4.375
2014-10-19,634,285.1047180932083,6.5
2014-10-20,819,281.0095833333333,3.3333333333333335
2014-10-21,944,286.115,1.7916666666666667
2014-10-22,929,285.83080654025,5.791666666666667
2014-10-23,1018,284.3225,6.208333333333333
2014-10-24,1073,286.115,5.041666666666667
